CellLine	DrugName	PrimaryTarget	Pathway	Conc	GRvalue	IncreasedFracDead
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.001	0.97792	0.0023167
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.0031623	0.94021	0.0020467
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.01	0.89017	0.0058962
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.031623	0.70791	0.016107
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.1	0.51835	0.034013
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.31623	0.31013	0.065095
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	1	0.16531	0.14092
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	3.1623	0.012911	0.23438
MCF7	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	10	-0.15936	0.41522
MCF7	Ceritinib/LDK378	ALK	RTK	0.001	1.0019	0.00045276
MCF7	Ceritinib/LDK378	ALK	RTK	0.0031623	1.0478	0.00101
MCF7	Ceritinib/LDK378	ALK	RTK	0.01	0.99233	0.0027515
MCF7	Ceritinib/LDK378	ALK	RTK	0.031623	0.97556	0.0057357
MCF7	Ceritinib/LDK378	ALK	RTK	0.1	0.82933	0.014468
MCF7	Ceritinib/LDK378	ALK	RTK	0.31623	0.51203	0.036025
MCF7	Ceritinib/LDK378	ALK	RTK	1	0.028924	0.16654
MCF7	Ceritinib/LDK378	ALK	RTK	3.1623	-0.23192	0.34888
MCF7	Ceritinib/LDK378	ALK	RTK	10	-0.6157	0.76213
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	0.00031623	1.0421	-4.8542e-05
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	0.001	1.0169	0.0031135
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	0.0031623	1.01	0.001342
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	0.01	0.96982	0.0028183
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	0.031623	0.95736	0.0029557
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	0.1	0.92255	0.0025823
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	0.31623	0.7702	0.0089075
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	1	0.66653	0.012537
MCF7	Neratinib/HKI272	EGFR/HER2	RTK	3.1623	0.058219	0.16366
MCF7	Tivantinib/ARQ197	MET	RTK	0.001	1.0116	0.0012256
MCF7	Tivantinib/ARQ197	MET	RTK	0.0031623	1.0089	0.0015526
MCF7	Tivantinib/ARQ197	MET	RTK	0.01	1.0276	0.00023975
MCF7	Tivantinib/ARQ197	MET	RTK	0.031623	0.93872	0.0032503
MCF7	Tivantinib/ARQ197	MET	RTK	0.1	0.67292	0.024724
MCF7	Tivantinib/ARQ197	MET	RTK	0.31623	0.21401	0.11704
MCF7	Tivantinib/ARQ197	MET	RTK	1	-0.0087454	0.25609
MCF7	Tivantinib/ARQ197	MET	RTK	3.1623	0.039183	0.24788
MCF7	Tivantinib/ARQ197	MET	RTK	10	-0.051186	0.2332
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.001	1.0013	-0.00012388
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.0031623	1.0519	-0.0014261
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.01	1.0466	-0.0006384
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.031623	1.0041	-0.00070695
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.1	1.0382	-0.0022499
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	0.31623	0.99749	0.00032365
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	1	0.92552	0.00065751
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	3.1623	0.77362	0.0074597
MCF7	Cediranib/AZD2171	VEGFR/cKIT	RTK	10	0.11485	0.16822
MCF7	Cabozantinib	VEGFR2/MET	RTK	0.001	1.01	0.0035855
MCF7	Cabozantinib	VEGFR2/MET	RTK	0.0031623	1.0258	-0.00025118
MCF7	Cabozantinib	VEGFR2/MET	RTK	0.01	0.98926	0.0015238
MCF7	Cabozantinib	VEGFR2/MET	RTK	0.031623	1.0228	0.0013571
MCF7	Cabozantinib	VEGFR2/MET	RTK	0.1	0.99641	0.0010067
MCF7	Cabozantinib	VEGFR2/MET	RTK	0.31623	0.95299	0.0028661
MCF7	Cabozantinib	VEGFR2/MET	RTK	1	0.96356	0.0045604
MCF7	Cabozantinib	VEGFR2/MET	RTK	3.1623	0.73843	0.015025
MCF7	Cabozantinib	VEGFR2/MET	RTK	10	-0.099312	0.24217
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.001	0.91954	0.0063717
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.0031623	0.8583	0.002824
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.01	0.70118	-0.00059225
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.031623	0.4981	0.0032858
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.1	0.29105	0.037473
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	0.31623	0.15115	0.050854
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	1	0.07115	0.11638
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	3.1623	-0.19041	0.3703
MDAMB231	Abemaciclib/LY2835219	CDK4/6	Cell cycle	10	-0.48745	0.66697
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.00031623	1.0771	0.0013384
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.001	0.99328	0.0040483
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.0031623	0.91941	-0.0027186
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.01	0.82213	-0.005794
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.031623	0.65636	-0.0035434
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.1	0.5015	0.0093298
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	0.31623	0.41719	0.015665
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	1	0.28653	0.033141
MDAMB231	Palbociclib/PD0332991	CDK4/6	Cell cycle	3.1623	0.20655	0.039799
MDAMB231	AZD7762	CHK1/2	Cell cycle	0.001	1.0672	0.0080679
MDAMB231	AZD7762	CHK1/2	Cell cycle	0.0031623	1.0685	0.0098535
MDAMB231	AZD7762	CHK1/2	Cell cycle	0.01	1.1122	0.028286
MDAMB231	AZD7762	CHK1/2	Cell cycle	0.031623	0.93055	0.066512
MDAMB231	AZD7762	CHK1/2	Cell cycle	0.1	0.50843	0.18185
MDAMB231	AZD7762	CHK1/2	Cell cycle	0.31623	0.28219	0.24126
MDAMB231	AZD7762	CHK1/2	Cell cycle	1	-0.055302	0.35599
MDAMB231	AZD7762	CHK1/2	Cell cycle	3.1623	-0.36301	0.59853
MDAMB231	AZD7762	CHK1/2	Cell cycle	10	-0.46315	0.68964
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.0001	1.0247	0.0018042
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.00031623	1.0754	-0.00091531
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.001	1.0286	-0.0039045
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.0031623	0.76182	0.028467
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.01	0.032121	0.22457
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.031623	-0.035639	0.29799
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.1	-0.020642	0.29493
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	0.31623	-0.017708	0.24514
MDAMB231	Volasertib/BI6727	PLK	Cell cycle	1	-0.018563	0.13531
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.0001	0.93447	0.0071964
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.00031623	1.0243	0.0020907
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.001	0.96171	0.0054102
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.0031623	0.9347	-0.0031482
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.01	0.53054	0.055821
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.031623	-0.29005	0.46501
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.1	-0.3532	0.56698
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	0.31623	-0.3669	0.58629
MDAMB231	Dinaciclib/SCH727965	pan CDK	Cell cycle	1	-0.42025	0.61381
MDAMB231	Cisplatin	Chemo	Chemotherapy	0.0010833	1.0167	-0.0031237
MDAMB231	Cisplatin	Chemo	Chemotherapy	0.0033333	1.009	0.002493
MDAMB231	Cisplatin	Chemo	Chemotherapy	0.01	1.0091	-0.0024698
MDAMB231	Cisplatin	Chemo	Chemotherapy	0.031667	1.0066	-0.0013906
MDAMB231	Cisplatin	Chemo	Chemotherapy	0.1	0.98245	-0.0021433
MDAMB231	Cisplatin	Chemo	Chemotherapy	0.31623	0.96131	-0.00068368
MDAMB231	Cisplatin	Chemo	Chemotherapy	1	0.76984	0.0063769
MDAMB231	Cisplatin	Chemo	Chemotherapy	3.1623	0.42872	0.038225
MDAMB231	Cisplatin	Chemo	Chemotherapy	10	0.27208	0.03863
MDAMB231	Doxorubicin	Chemo	Chemotherapy	0.00031623	0.91263	0.0052128
MDAMB231	Doxorubicin	Chemo	Chemotherapy	0.001	0.93177	0.00041593
MDAMB231	Doxorubicin	Chemo	Chemotherapy	0.0031623	0.71493	0.046435
MDAMB231	Doxorubicin	Chemo	Chemotherapy	0.01	0.13607	0.1813
MDAMB231	Doxorubicin	Chemo	Chemotherapy	0.031623	-0.017667	0.10321
MDAMB231	Doxorubicin	Chemo	Chemotherapy	0.1	-0.090272	0.16988
MDAMB231	Doxorubicin	Chemo	Chemotherapy	0.31623	-0.18109	0.28406
MDAMB231	Doxorubicin	Chemo	Chemotherapy	1	-0.25014	0.39444
MDAMB231	Doxorubicin	Chemo	Chemotherapy	3.1623	-0.48636	0.6979
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.0001	0.7633	0.020938
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.00031623	0.94855	0.010245
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.001	0.78733	0.070471
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.0031623	0.37931	0.25412
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.01	0.083067	0.37519
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.031623	-0.01069	0.41404
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.1	-0.04931	0.38815
MDAMB231	Paclitaxel	Chemo	Chemotherapy	0.31623	-0.076244	0.36779
MDAMB231	Paclitaxel	Chemo	Chemotherapy	1	-0.12035	0.41739
MDAMB231	Topotecan	Topo I	Chemotherapy	0.0010833	0.97538	-0.0036171
MDAMB231	Topotecan	Topo I	Chemotherapy	0.0033333	0.92511	0.0010517
MDAMB231	Topotecan	Topo I	Chemotherapy	0.01	0.79524	0.0026689
MDAMB231	Topotecan	Topo I	Chemotherapy	0.031667	0.28102	0.03862
MDAMB231	Topotecan	Topo I	Chemotherapy	0.1	0.20087	0.022382
MDAMB231	Topotecan	Topo I	Chemotherapy	0.31623	0.11372	0.019147
MDAMB231	Topotecan	Topo I	Chemotherapy	1	0.04032	0.055413
MDAMB231	Topotecan	Topo I	Chemotherapy	3.1623	-0.27594	0.30863
MDAMB231	Topotecan	Topo I	Chemotherapy	10	-0.32414	0.26925
MDAMB231	Etoposide	Topo II	Chemotherapy	0.0010833	0.96405	0.0032624
MDAMB231	Etoposide	Topo II	Chemotherapy	0.0033333	0.96814	-0.00062893
MDAMB231	Etoposide	Topo II	Chemotherapy	0.01	0.9649	-0.0044301
MDAMB231	Etoposide	Topo II	Chemotherapy	0.031667	0.96866	-0.001333
MDAMB231	Etoposide	Topo II	Chemotherapy	0.1	0.89739	-0.002604
MDAMB231	Etoposide	Topo II	Chemotherapy	0.31623	0.78916	0.00091419
MDAMB231	Etoposide	Topo II	Chemotherapy	1	0.38269	0.047291
MDAMB231	Etoposide	Topo II	Chemotherapy	3.1623	0.12025	0.032587
MDAMB231	Etoposide	Topo II	Chemotherapy	10	0.12553	0.010092
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	0.001	0.88424	0.011088
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	0.0031623	0.8032	0.01283
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	0.01	0.7243	0.021291
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	0.031623	0.5201	0.034188
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	0.1	0.23355	0.084475
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	0.31623	0.076902	0.12622
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	1	0.065653	0.14677
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	3.1623	0.017175	0.24249
MDAMB231	Dasatinib	BCR/ABL	MAPK/nRTK	10	-0.12559	0.35859
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.0001	0.93502	0.0062378
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.00031623	0.95742	0.015746
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.001	0.7626	0.054146
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.0031623	0.4427	0.15621
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.01	0.084622	0.34837
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.031623	-0.089598	0.4501
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.1	-0.14659	0.48773
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	0.31623	-0.17851	0.52259
MDAMB231	Trametinib/GSK1120212	MEK	MAPK/nRTK	1	-0.15882	0.49327
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.001	0.93577	0.0091939
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.0031623	0.92112	0.0050923
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.01	0.8679	0.0045329
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.031623	0.86829	0.011994
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.1	0.78159	0.014827
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	0.31623	0.74802	0.019452
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	1	0.55903	0.036215
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	3.1623	0.49644	0.025356
MDAMB231	Saracatinib/AZD0530	SRC	MAPK/nRTK	10	0.28009	0.10952
MDAMB231	ABT-737	Bcl2/XL	Misc	0.001	0.99674	0.0052799
MDAMB231	ABT-737	Bcl2/XL	Misc	0.0031623	0.99163	0.0052667
MDAMB231	ABT-737	Bcl2/XL	Misc	0.01	0.9978	0.009698
MDAMB231	ABT-737	Bcl2/XL	Misc	0.031623	1.0471	0.013146
MDAMB231	ABT-737	Bcl2/XL	Misc	0.1	1.0077	0.017239
MDAMB231	ABT-737	Bcl2/XL	Misc	0.31623	0.91707	0.033049
MDAMB231	ABT-737	Bcl2/XL	Misc	1	0.80635	0.061691
MDAMB231	ABT-737	Bcl2/XL	Misc	3.1623	0.50163	0.17355
MDAMB231	ABT-737	Bcl2/XL	Misc	10	-0.12036	0.39679
MDAMB231	Vorinostat	HDAC	Misc	0.001	0.97257	0.0050179
MDAMB231	Vorinostat	HDAC	Misc	0.0031623	0.99256	0.0057473
MDAMB231	Vorinostat	HDAC	Misc	0.01	0.98037	0.006164
MDAMB231	Vorinostat	HDAC	Misc	0.031623	0.97481	0.012976
MDAMB231	Vorinostat	HDAC	Misc	0.1	0.93883	0.0047834
MDAMB231	Vorinostat	HDAC	Misc	0.31623	1.0226	0.0082191
MDAMB231	Vorinostat	HDAC	Misc	1	0.57986	0.073201
MDAMB231	Vorinostat	HDAC	Misc	3.1623	-0.039855	0.30688
MDAMB231	Vorinostat	HDAC	Misc	10	-0.38477	0.5811
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.0001	1.0349	0.00094896
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.00031623	0.96488	0.0030129
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.001	1.0497	-0.00018632
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.0031623	0.91995	0.0092926
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.01	-0.0079789	0.29827
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.031623	-0.1843	0.42288
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.1	-0.16362	0.43578
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	0.31623	-0.16827	0.42778
MDAMB231	Luminespib/NVP-AUY922	HSP90	Misc	1	-0.17823	0.44431
MDAMB231	A-1210477	Mcl-1	Misc	0.001	0.95541	-0.0043401
MDAMB231	A-1210477	Mcl-1	Misc	0.0031623	0.89546	0.0061908
MDAMB231	A-1210477	Mcl-1	Misc	0.01	0.89866	0.0076473
MDAMB231	A-1210477	Mcl-1	Misc	0.031623	0.96046	0.0051343
MDAMB231	A-1210477	Mcl-1	Misc	0.1	0.96395	0.0078084
MDAMB231	A-1210477	Mcl-1	Misc	0.31623	0.98329	0.0020542
MDAMB231	A-1210477	Mcl-1	Misc	1	0.94974	0.00062411
MDAMB231	A-1210477	Mcl-1	Misc	3.1623	0.97745	0.00061677
MDAMB231	A-1210477	Mcl-1	Misc	10	0.95688	0.0050526
MDAMB231	Olaparib/AZD2281	PARP	Misc	0.001	0.97986	-0.0002404
MDAMB231	Olaparib/AZD2281	PARP	Misc	0.0031623	0.98879	0.0019702
MDAMB231	Olaparib/AZD2281	PARP	Misc	0.01	1.0059	0.0016862
MDAMB231	Olaparib/AZD2281	PARP	Misc	0.031623	0.96476	0.0013816
MDAMB231	Olaparib/AZD2281	PARP	Misc	0.1	1.0043	-0.0024802
MDAMB231	Olaparib/AZD2281	PARP	Misc	0.31623	0.96683	0.0010586
MDAMB231	Olaparib/AZD2281	PARP	Misc	1	0.93678	-0.0068157
MDAMB231	Olaparib/AZD2281	PARP	Misc	3.1623	0.86889	0.0108
MDAMB231	Olaparib/AZD2281	PARP	Misc	10	0.61789	0.037911
MDAMB231	Bleomycin	Radiation	Misc	0.0010833	0.96205	-0.0019775
MDAMB231	Bleomycin	Radiation	Misc	0.0033333	0.95362	0.0004145
MDAMB231	Bleomycin	Radiation	Misc	0.01	0.96976	-0.0010865
MDAMB231	Bleomycin	Radiation	Misc	0.031667	0.96718	-0.0010083
MDAMB231	Bleomycin	Radiation	Misc	0.1	0.94745	-0.00064251
MDAMB231	Bleomycin	Radiation	Misc	0.31623	0.95259	-0.0028053
MDAMB231	Bleomycin	Radiation	Misc	1	0.84635	-0.0011226
MDAMB231	Bleomycin	Radiation	Misc	3.1623	0.61422	0.0083936
MDAMB231	Bleomycin	Radiation	Misc	10	0.43647	0.027039
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.001	0.97311	0.0028655
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.0031623	0.98061	0.0047388
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.01	1.0561	0.0054125
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.031623	1.0315	-0.0016618
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.1	0.98711	-0.006369
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	0.31623	0.92494	0.00080371
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	1	1.0136	-0.00088119
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	3.1623	1.0049	-0.004803
MDAMB231	Ipatasertib/GDC0068	AKT	PI3K/mTOR	10	0.92535	-0.0073575
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.001	0.90772	0.0042579
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.0031623	0.91635	0.0056323
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.01	0.93471	0.0084789
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.031623	0.97173	0.0028063
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.1	0.91112	0.0062321
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	0.31623	0.96555	0.0016755
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	1	0.9481	-0.0045037
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	3.1623	0.83726	0.0090757
MDAMB231	Alpelisib/BYL719	PI3Ka	PI3K/mTOR	10	0.69041	0.0065335
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.001	0.92143	0.0035744
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.0031623	0.91009	0.0063506
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.01	0.87796	0.001713
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.031623	0.85761	0.010597
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.1	0.80643	0.0081493
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	0.31623	0.75611	0.013045
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	1	0.71796	0.020834
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	3.1623	0.54574	0.0319
MDAMB231	Taselisib/GDC0032	PI3Ka, g, d	PI3K/mTOR	10	0.070907	0.16838
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	0.001	1.0499	-0.0021193
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	0.0031623	1.0589	-0.0044169
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	0.01	1.0512	0.00023144
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	0.031623	1.0151	0.0062632
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	0.1	0.94589	0.015092
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	0.31623	1.0007	0.00057376
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	1	0.9256	0.003847
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	3.1623	0.93911	0.0078208
MDAMB231	TGX221	PI3Kb	PI3K/mTOR	10	0.85077	0.017807
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.0001	1.0116	0.006586
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.00031623	0.98871	0.002576
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.001	1.0068	0.0024248
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.0031623	0.92176	0.002521
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.01	0.70273	0.010924
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.031623	0.412	0.027855
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.1	0.2244	0.062258
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	0.31623	0.16628	0.077421
MDAMB231	Torin2	mTOR/ATM/ATR	PI3K/mTOR	1	-0.026213	0.23744
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	0.001	0.81325	0.0022637
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	0.0031623	0.87437	-0.0053394
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	0.01	0.77175	-0.0035719
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	0.031623	0.75509	-0.001585
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	0.1	0.74022	-0.0051431
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	0.31623	0.76777	0.0022002
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	1	0.7575	-3.2192e-05
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	3.1623	0.77475	-0.00020959
MDAMB231	Everolimus	mTOR1	PI3K/mTOR	10	0.71101	0.0058081
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.00031623	0.9572	0.0018134
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.001	0.91924	0.001916
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.0031623	0.89138	-0.002983
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.01	0.67691	0.0092383
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.031623	0.40995	0.029574
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.1	0.25344	0.040865
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	0.31623	0.20467	0.036141
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	1	0.22749	0.040311
MDAMB231	INK128/MLN0128	mTORC1/2	PI3K/mTOR	3.1623	0.10128	0.070651
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	0.001	0.9914	0.0059496
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	0.0031623	0.99313	0.010603
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	0.01	1.0232	0.0050997
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	0.031623	1.0077	-0.0019663
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	0.1	1.0375	0.0017407
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	0.31623	0.97445	0.0049887
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	1	1.0013	0.0080062
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	3.1623	0.95549	0.0098705
MDAMB231	PF-4708671	p70S6K	PI3K/mTOR	10	0.85441	0.016878
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.001	0.92411	0.001976
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.0031623	0.98677	0.00053599
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.01	0.89808	0.0092521
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.031623	0.9463	0.0035158
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.1	0.9232	0.012726
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	0.31623	0.91712	0.0011815
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	1	0.73842	0.01989
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	3.1623	0.045196	0.19387
MDAMB231	Buparlisib/NVP-BKM120	pan PI3K	PI3K/mTOR	10	-0.23509	0.2931
MDAMB231	Pictilisib/GDC0941	pan PI3K	PI3K/mTOR	0.001	0.91968	0.0050929
